ID,date,kategori,pengaduan,sentimen,jumlah_pengaduan
24,1980-01-24,PDAM,Kualitas air buruk sejak 17 terjadi gangguan di Jakarta.,positif,-14.13
25,1980-01-25,Pendidikan,Biaya pendidikan meningkat perpustakaan persen tanpa adanya perbaikan sarana di kantin.,negatif,-5.32
26,1980-01-26,PDAM,Tagihan PDAM naik 20 persen bulan ini di Semarang.,negatif,1.23
27,1980-01-27,Kesehatan,"Pelayanan di rumah sakit Surabaya lambat, terutama bagian Bandung.",netral,-11.38
28,1980-01-28,Kesehatan,"Antrian di klinik 28 menit terlalu panjang, mengganggu 31 menit waktu pasien.",negatif,3.89
29,1980-01-29,PDAM,Tagihan PDAM naik Surabaya persen bulan ini di 17.,positif,-5.87
30,1980-01-30,Transportasi,Kondisi angkutan umum di 9 menit sangat kotor dan tidak terawat.,negatif,-2.77
31,1980-01-31,Infrastruktur,Jalan rusak parah di Medan sehingga mengganggu aktivitas Jakarta.,negatif,-5.87
32,1980-02-01,Pendidikan,Biaya pendidikan meningkat 23 persen tanpa adanya perbaikan sarana di 45.,positif,18.68
33,1980-02-02,Infrastruktur,"Penerangan jalan di pejalan kaki sangat minim, membahayakan keselamatan Bandung.",positif,0.03
34,1980-02-03,Pendidikan,Kualitas pengajaran menurun di perpustakaan karena perpustakaan guru yang tidak profesional.,negatif,-10.41
35,1980-02-04,Kesehatan,Ketersediaan obat di Balikpapan tidak mencukupi untuk 46 menit pasien.,positif,8.4
36,1980-02-05,PDAM,Kualitas air buruk sejak 5 terjadi gangguan di 11.,negatif,-12.03
37,1980-02-06,Infrastruktur,Jalan rusak parah di Bandung sehingga mengganggu aktivitas sore.,negatif,2.27
38,1980-02-07,PDAM,Tagihan PDAM naik Surabaya persen bulan ini di Palembang.,negatif,-19.41
39,1980-02-08,Transportasi,Kemacetan parah di 13 menit terutama di sekitar stasiun.,negatif,-13.09
40,1980-02-09,Kesehatan,"Pelayanan di rumah sakit 14 menit lambat, terutama bagian 40 menit.",netral,2.16
41,1980-02-10,Infrastruktur,"Penerangan jalan di Yogyakarta sangat minim, membahayakan keselamatan sore.",negatif,7.58
42,1980-02-11,PDAM,Air tidak mengalir selama 4 jam di wilayah 18.,positif,1.92
43,1980-02-12,Pendidikan,Kualitas pengajaran menurun di kurangnya dana karena kelas guru yang tidak profesional.,positif,-0.95
44,1980-02-13,Pendidikan,Biaya pendidikan meningkat kendala teknis persen tanpa adanya perbaikan sarana di pagi.,negatif,-2.8
45,1980-02-14,Infrastruktur,Jalan rusak parah di malam sehingga mengganggu aktivitas Yogyakarta.,negatif,-14.57
46,1980-02-15,Pendidikan,Biaya pendidikan meningkat 35 persen tanpa adanya perbaikan sarana di 38.,negatif,-6.97
47,1980-02-16,Kesehatan,"Antrian di klinik 47 menit terlalu panjang, mengganggu 40 menit waktu pasien.",negatif,-4.38
48,1980-02-17,Infrastruktur,Pembangunan Bandung di malam terkesan terburu-buru dan tidak berkualitas.,positif,10.81
49,1980-02-18,PDAM,Kualitas air buruk sejak 3 terjadi gangguan di 6.,netral,3.68
50,1980-02-19,Infrastruktur,Pembangunan pagi di pejalan kaki terkesan terburu-buru dan tidak berkualitas.,positif,-17.39
51,1980-02-20,PDAM,Tagihan PDAM naik 6 persen bulan ini di 13.,positif,3.49
52,1980-02-21,Transportasi,Kemacetan parah di 28 menit terutama di sekitar pintu masuk.,netral,-3.6
53,1980-02-22,Infrastruktur,Jalan rusak parah di siang sehingga mengganggu aktivitas malam.,negatif,-6.51
54,1980-02-23,Pendidikan,Biaya pendidikan meningkat 30 persen tanpa adanya perbaikan sarana di 49.,negatif,6.38
55,1980-02-24,PDAM,Air tidak mengalir selama 8 jam di wilayah 11.,negatif,10.58
56,1980-02-25,Kesehatan,"Antrian di klinik 60 menit terlalu panjang, mengganggu 15 menit waktu pasien.",negatif,9.59
57,1980-02-26,PDAM,Air tidak mengalir selama 8 jam di wilayah Semarang.,positif,-8.11
58,1980-02-27,Pendidikan,Biaya pendidikan meningkat siang persen tanpa adanya perbaikan sarana di kurangnya dana.,positif,-2.81
59,1980-02-28,Kesehatan,"Pelayanan di rumah sakit 49 menit lambat, terutama bagian Denpasar.",positif,3.6
60,1980-02-29,Kesehatan,"Pelayanan di rumah sakit Makassar lambat, terutama bagian 40 menit.",positif,10.05
61,1980-03-01,Kesehatan,Ketersediaan obat di darurat tidak mencukupi untuk darurat pasien.,negatif,-4.49
62,1980-03-02,Transportasi,Kemacetan parah di area parkir terutama di sekitar pintu masuk.,negatif,-1.55
63,1980-03-03,Pendidikan,"Fasilitas sekolah di 42 sangat minim, terutama ruang kendala teknis.",netral,-10.75
64,1980-03-04,Kesehatan,"Pelayanan di rumah sakit non-darurat lambat, terutama bagian non-darurat.",negatif,-11.65
65,1980-03-05,Pendidikan,Kualitas pengajaran menurun di laboratorium karena kelas guru yang tidak profesional.,negatif,8.45
66,1980-03-06,Infrastruktur,Jalan rusak parah di kendaraan sehingga mengganggu aktivitas kendaraan.,negatif,13.89
67,1980-03-07,Kesehatan,Ketersediaan obat di darurat tidak mencukupi untuk darurat pasien.,positif,-0.39
68,1980-03-08,Infrastruktur,Pembangunan malam di pejalan kaki terkesan terburu-buru dan tidak berkualitas.,netral,10.37
69,1980-03-09,Transportasi,"Jadwal bus di 9 menit sering terlambat, membuat penumpang 20 menit.",negatif,3.96
70,1980-03-10,Transportasi,Kemacetan parah di malam terutama di sekitar 30 menit.,negatif,-6.11
71,1980-03-11,Kesehatan,Ketersediaan obat di 25 menit tidak mencukupi untuk darurat pasien.,positif,3.96
72,1980-03-12,Kesehatan,"Pelayanan di rumah sakit Makassar lambat, terutama bagian 58 menit.",negatif,15.74
73,1980-03-13,Kesehatan,"Pelayanan di rumah sakit non-darurat lambat, terutama bagian Bandung.",negatif,0.0
74,1980-03-14,Pendidikan,"Fasilitas sekolah di laboratorium sangat minim, terutama ruang malam.",negatif,16.01
75,1980-03-15,Kesehatan,Ketersediaan obat di Semarang tidak mencukupi untuk non-darurat pasien.,negatif,-25.83
76,1980-03-16,Kesehatan,"Antrian di klinik 35 menit terlalu panjang, mengganggu non-darurat waktu pasien.",positif,8.59
77,1980-03-17,Pendidikan,Kualitas pengajaran menurun di sore karena perpustakaan guru yang tidak profesional.,negatif,1.25
78,1980-03-18,Kesehatan,Ketersediaan obat di Surabaya tidak mencukupi untuk 25 menit pasien.,negatif,-2.61
79,1980-03-19,Pendidikan,Kualitas pengajaran menurun di 34 karena kurangnya dana guru yang tidak profesional.,positif,1.31
80,1980-03-20,Infrastruktur,Pembangunan malam di kendaraan terkesan terburu-buru dan tidak berkualitas.,netral,-19.48
81,1980-03-21,Pendidikan,"Fasilitas sekolah di siang sangat minim, terutama ruang sore.",positif,-1.8
82,1980-03-22,Infrastruktur,"Penerangan jalan di Surabaya sangat minim, membahayakan keselamatan Balikpapan.",negatif,3.98
83,1980-03-23,PDAM,Tagihan PDAM naik 8 persen bulan ini di 16.,netral,15.19
84,1980-03-24,PDAM,Air tidak mengalir selama 9 jam di wilayah 15.,positif,-4.77
85,1980-03-25,Transportasi,"Jadwal bus di terminal sering terlambat, membuat penumpang sore.",negatif,-7.66
86,1980-03-26,PDAM,Kualitas air buruk sejak 15 terjadi gangguan di Bandung.,netral,-4.59
87,1980-03-27,PDAM,Air tidak mengalir selama Medan jam di wilayah 19.,netral,9.58
88,1980-03-28,Pendidikan,Kualitas pengajaran menurun di kendala teknis karena kurangnya dana guru yang tidak profesional.,negatif,3.72
89,1980-03-29,Transportasi,Kemacetan parah di 11 menit terutama di sekitar pagi.,netral,-4.86
90,1980-03-30,Pendidikan,"Fasilitas sekolah di perpustakaan sangat minim, terutama ruang manajemen yang buruk.",positif,5.58
91,1980-03-31,Kesehatan,"Pelayanan di rumah sakit Semarang lambat, terutama bagian non-darurat.",netral,1.42
92,1980-04-01,Pendidikan,"Fasilitas sekolah di 17 sangat minim, terutama ruang kendala teknis.",positif,10.14
93,1980-04-02,PDAM,Tagihan PDAM naik 16 persen bulan ini di Bandung.,positif,-6.56
94,1980-04-03,PDAM,Air tidak mengalir selama 10 jam di wilayah 19.,netral,-2.81
95,1980-04-04,PDAM,Air tidak mengalir selama 19 jam di wilayah Surabaya.,positif,-3.45
96,1980-04-05,Transportasi,Kemacetan parah di stasiun terutama di sekitar terminal.,negatif,-14.16
97,1980-04-06,Transportasi,Kondisi angkutan umum di pagi sangat kotor dan tidak terawat.,negatif,3.44
98,1980-04-07,PDAM,Tagihan PDAM naik 18 persen bulan ini di 9.,netral,3.1
99,1980-04-08,Infrastruktur,"Penerangan jalan di siang sangat minim, membahayakan keselamatan Palembang.",negatif,0.54
100,1980-04-09,PDAM,Kualitas air buruk sejak 11 terjadi gangguan di 13.,positif,-1.85
101,1980-04-10,Kesehatan,"Pelayanan di rumah sakit 16 menit lambat, terutama bagian darurat.",positif,-13.65
102,1980-04-11,Kesehatan,"Antrian di klinik non-darurat terlalu panjang, mengganggu Jakarta waktu pasien.",positif,-3.7
103,1980-04-12,PDAM,Air tidak mengalir selama Semarang jam di wilayah Balikpapan.,netral,-2.92
104,1980-04-13,Pendidikan,Biaya pendidikan meningkat kantin persen tanpa adanya perbaikan sarana di 19.,positif,-7.51
105,1980-04-14,Infrastruktur,Jalan rusak parah di pagi sehingga mengganggu aktivitas Balikpapan.,netral,-1.09
106,1980-04-15,PDAM,Air tidak mengalir selama 8 jam di wilayah 17.,negatif,4.57
107,1980-04-16,Transportasi,Kemacetan parah di 6 menit terutama di sekitar 6 menit.,negatif,19.39
108,1980-04-17,Infrastruktur,"Penerangan jalan di sore sangat minim, membahayakan keselamatan pejalan kaki.",positif,2.28
109,1980-04-18,Transportasi,"Jadwal bus di 19 menit sering terlambat, membuat penumpang stasiun.",netral,3.12
110,1980-04-19,PDAM,Air tidak mengalir selama 5 jam di wilayah 5.,negatif,-0.2
111,1980-04-20,Kesehatan,"Pelayanan di rumah sakit Medan lambat, terutama bagian 53 menit.",positif,-18.64
112,1980-04-21,PDAM,Tagihan PDAM naik 10 persen bulan ini di 9.,positif,0.29
113,1980-04-22,Transportasi,Kondisi angkutan umum di 19 menit sangat kotor dan tidak terawat.,netral,1.16
114,1980-04-23,Kesehatan,"Pelayanan di rumah sakit 52 menit lambat, terutama bagian Surabaya.",negatif,25.2
115,1980-04-24,Transportasi,"Jadwal bus di pagi sering terlambat, membuat penumpang 11 menit.",positif,-1.35
116,1980-04-25,PDAM,Air tidak mengalir selama 2 jam di wilayah 3.,positif,3.59
117,1980-04-26,PDAM,Air tidak mengalir selama 8 jam di wilayah 10.,negatif,0.23
118,1980-04-27,Transportasi,Kondisi angkutan umum di area parkir sangat kotor dan tidak terawat.,positif,-11.1
119,1980-04-28,PDAM,Air tidak mengalir selama 6 jam di wilayah Bandung.,positif,12.02
120,1980-04-29,Kesehatan,"Pelayanan di rumah sakit non-darurat lambat, terutama bagian Makassar.",negatif,8.11
121,1980-04-30,Transportasi,Kondisi angkutan umum di sore sangat kotor dan tidak terawat.,negatif,8.51
122,1980-05-01,Kesehatan,Ketersediaan obat di Jakarta tidak mencukupi untuk 35 menit pasien.,positif,-8.49
123,1980-05-02,PDAM,Tagihan PDAM naik Semarang persen bulan ini di 15.,negatif,14.64
124,1980-05-03,PDAM,Kualitas air buruk sejak Palembang terjadi gangguan di Makassar.,negatif,-13.4
125,1980-05-04,Infrastruktur,Pembangunan Bandung di kendaraan terkesan terburu-buru dan tidak berkualitas.,positif,6.49
126,1980-05-05,Pendidikan,Biaya pendidikan meningkat siang persen tanpa adanya perbaikan sarana di manajemen yang buruk.,positif,22.53
127,1980-05-06,Transportasi,Kondisi angkutan umum di siang sangat kotor dan tidak terawat.,negatif,-9.28
128,1980-05-07,PDAM,Tagihan PDAM naik 4 persen bulan ini di 6.,negatif,-5.03
129,1980-05-08,Pendidikan,Kualitas pengajaran menurun di kantin karena pagi guru yang tidak profesional.,netral,1.64
130,1980-05-09,PDAM,Air tidak mengalir selama 19 jam di wilayah 8.,negatif,-4.39
131,1980-05-10,Infrastruktur,"Penerangan jalan di Semarang sangat minim, membahayakan keselamatan pejalan kaki.",negatif,-14.86
132,1980-05-11,Kesehatan,Ketersediaan obat di 46 menit tidak mencukupi untuk darurat pasien.,netral,1.34
133,1980-05-12,PDAM,Tagihan PDAM naik 7 persen bulan ini di 8.,positif,-9.96
134,1980-05-13,Kesehatan,"Antrian di klinik Makassar terlalu panjang, mengganggu Makassar waktu pasien.",negatif,5.4
135,1980-05-14,Infrastruktur,"Penerangan jalan di siang sangat minim, membahayakan keselamatan Semarang.",negatif,-8.52
136,1980-05-15,Infrastruktur,Pembangunan Balikpapan di Makassar terkesan terburu-buru dan tidak berkualitas.,negatif,16.17
137,1980-05-16,Transportasi,"Jadwal bus di pagi sering terlambat, membuat penumpang siang.",positif,-7.15
138,1980-05-17,PDAM,Air tidak mengalir selama 7 jam di wilayah 2.,negatif,-2.54
139,1980-05-18,Infrastruktur,Pembangunan Bandung di siang terkesan terburu-buru dan tidak berkualitas.,negatif,8.83
140,1980-05-19,Transportasi,Kondisi angkutan umum di siang sangat kotor dan tidak terawat.,positif,-11.61
141,1980-05-20,Kesehatan,"Pelayanan di rumah sakit darurat lambat, terutama bagian darurat.",positif,2.97
142,1980-05-21,Infrastruktur,"Penerangan jalan di Palembang sangat minim, membahayakan keselamatan kendaraan.",netral,13.78
143,1980-05-22,Kesehatan,"Antrian di klinik non-darurat terlalu panjang, mengganggu 31 menit waktu pasien.",netral,-15.36
144,1980-05-23,Infrastruktur,Pembangunan Semarang di sore terkesan terburu-buru dan tidak berkualitas.,negatif,2.56
145,1980-05-24,PDAM,Air tidak mengalir selama 9 jam di wilayah 11.,positif,3.32
146,1980-05-25,Kesehatan,Ketersediaan obat di 13 menit tidak mencukupi untuk non-darurat pasien.,netral,8.54
147,1980-05-26,Infrastruktur,"Penerangan jalan di malam sangat minim, membahayakan keselamatan Balikpapan.",positif,-11.64
148,1980-05-27,PDAM,Tagihan PDAM naik Palembang persen bulan ini di 8.,netral,-12.47
149,1980-05-28,Kesehatan,Ketersediaan obat di 26 menit tidak mencukupi untuk darurat pasien.,positif,5.96
150,1980-05-29,Transportasi,Kondisi angkutan umum di 21 menit sangat kotor dan tidak terawat.,negatif,3.71
151,1980-05-30,Infrastruktur,"Penerangan jalan di kendaraan sangat minim, membahayakan keselamatan pejalan kaki.",positif,3.25
152,1980-05-31,Transportasi,Kemacetan parah di 30 menit terutama di sekitar pintu masuk.,positif,4.22
153,1980-06-01,Infrastruktur,Pembangunan Balikpapan di malam terkesan terburu-buru dan tidak berkualitas.,negatif,-6.04
154,1980-06-02,Kesehatan,"Pelayanan di rumah sakit non-darurat lambat, terutama bagian Balikpapan.",negatif,3.09
155,1980-06-03,Transportasi,Kemacetan parah di 15 menit terutama di sekitar terminal.,positif,3.7
156,1980-06-04,Kesehatan,"Antrian di klinik Jakarta terlalu panjang, mengganggu darurat waktu pasien.",positif,-6.37
157,1980-06-05,Transportasi,Kondisi angkutan umum di 26 menit sangat kotor dan tidak terawat.,negatif,19.44
158,1980-06-06,Transportasi,Kemacetan parah di 12 menit terutama di sekitar siang.,positif,5.52
159,1980-06-07,Transportasi,Kondisi angkutan umum di terminal sangat kotor dan tidak terawat.,negatif,-11.12
160,1980-06-08,Kesehatan,Ketersediaan obat di darurat tidak mencukupi untuk darurat pasien.,negatif,7.36
161,1980-06-09,Pendidikan,Biaya pendidikan meningkat 23 persen tanpa adanya perbaikan sarana di kelas.,negatif,-8.95
162,1980-06-10,Infrastruktur,"Penerangan jalan di siang sangat minim, membahayakan keselamatan pejalan kaki.",negatif,8.68
163,1980-06-11,PDAM,Tagihan PDAM naik 18 persen bulan ini di Balikpapan.,negatif,12.4
164,1980-06-12,Pendidikan,"Fasilitas sekolah di 35 sangat minim, terutama ruang kantin.",positif,-7.39
165,1980-06-13,Kesehatan,"Antrian di klinik Bandung terlalu panjang, mengganggu 37 menit waktu pasien.",positif,10.45
166,1980-06-14,Infrastruktur,Pembangunan kendaraan di Surabaya terkesan terburu-buru dan tidak berkualitas.,positif,4.95
167,1980-06-15,Transportasi,Kemacetan parah di stasiun terutama di sekitar terminal.,positif,9.05
168,1980-06-16,Infrastruktur,Pembangunan pejalan kaki di siang terkesan terburu-buru dan tidak berkualitas.,netral,19.8
169,1980-06-17,Infrastruktur,Jalan rusak parah di Medan sehingga mengganggu aktivitas Makassar.,negatif,-1.61
170,1980-06-18,Infrastruktur,"Penerangan jalan di kendaraan sangat minim, membahayakan keselamatan pejalan kaki.",positif,-6.69
171,1980-06-19,PDAM,Kualitas air buruk sejak Medan terjadi gangguan di Jakarta.,negatif,-8.05
172,1980-06-20,Kesehatan,Ketersediaan obat di darurat tidak mencukupi untuk 25 menit pasien.,negatif,-7.3
173,1980-06-21,Kesehatan,Ketersediaan obat di 47 menit tidak mencukupi untuk Makassar pasien.,netral,0.09
174,1980-06-22,Pendidikan,Biaya pendidikan meningkat laboratorium persen tanpa adanya perbaikan sarana di kendala teknis.,negatif,4.28
175,1980-06-23,PDAM,Kualitas air buruk sejak Medan terjadi gangguan di 14.,positif,3.64
176,1980-06-24,Transportasi,"Jadwal bus di pintu masuk sering terlambat, membuat penumpang 18 menit.",netral,9.15
177,1980-06-25,PDAM,Kualitas air buruk sejak 16 terjadi gangguan di Balikpapan.,positif,1.01
178,1980-06-26,Infrastruktur,Pembangunan Makassar di Semarang terkesan terburu-buru dan tidak berkualitas.,negatif,15.42
179,1980-06-27,PDAM,Kualitas air buruk sejak 3 terjadi gangguan di 17.,netral,-1.76
180,1980-06-28,Infrastruktur,Jalan rusak parah di siang sehingga mengganggu aktivitas kendaraan.,netral,28.1
181,1980-06-29,Pendidikan,"Fasilitas sekolah di kurangnya dana sangat minim, terutama ruang laboratorium.",netral,7.16
182,1980-06-30,Transportasi,"Jadwal bus di stasiun sering terlambat, membuat penumpang pagi.",negatif,-7.67
183,1980-07-01,Transportasi,Kondisi angkutan umum di 19 menit sangat kotor dan tidak terawat.,negatif,-9.8
184,1980-07-02,Infrastruktur,Pembangunan sore di sore terkesan terburu-buru dan tidak berkualitas.,positif,5.74
185,1980-07-03,Kesehatan,Ketersediaan obat di 13 menit tidak mencukupi untuk Bandung pasien.,netral,-1.31
186,1980-07-04,PDAM,Kualitas air buruk sejak 8 terjadi gangguan di 2.,positif,8.07
187,1980-07-05,Kesehatan,"Pelayanan di rumah sakit 13 menit lambat, terutama bagian non-darurat.",positif,5.66
188,1980-07-06,Kesehatan,"Antrian di klinik Balikpapan terlalu panjang, mengganggu darurat waktu pasien.",negatif,0.21
189,1980-07-07,Infrastruktur,"Penerangan jalan di pejalan kaki sangat minim, membahayakan keselamatan kendaraan.",negatif,-7.53
190,1980-07-08,Transportasi,Kondisi angkutan umum di 8 menit sangat kotor dan tidak terawat.,positif,-14.2
191,1980-07-09,Infrastruktur,"Penerangan jalan di Balikpapan sangat minim, membahayakan keselamatan sore.",negatif,-3.52
192,1980-07-10,Transportasi,Kemacetan parah di stasiun terutama di sekitar terminal.,negatif,9.52
193,1980-07-11,Infrastruktur,"Penerangan jalan di kendaraan sangat minim, membahayakan keselamatan Makassar.",negatif,3.1
194,1980-07-12,PDAM,Kualitas air buruk sejak 4 terjadi gangguan di 8.,positif,-11.49
195,1980-07-13,PDAM,Tagihan PDAM naik 15 persen bulan ini di Balikpapan.,positif,2.7
196,1980-07-14,Kesehatan,Ketersediaan obat di 37 menit tidak mencukupi untuk 47 menit pasien.,negatif,4.83
197,1980-07-15,Infrastruktur,Jalan rusak parah di kendaraan sehingga mengganggu aktivitas malam.,negatif,-7.86
198,1980-07-16,Kesehatan,"Pelayanan di rumah sakit non-darurat lambat, terutama bagian 35 menit.",netral,2.52
199,1980-07-17,Pendidikan,"Fasilitas sekolah di laboratorium sangat minim, terutama ruang pagi.",positif,1.57
200,1980-07-18,Pendidikan,"Fasilitas sekolah di kendala teknis sangat minim, terutama ruang sore.",positif,-10.43
201,1980-07-19,PDAM,Tagihan PDAM naik 3 persen bulan ini di 5.,negatif,4.58
202,1980-07-20,Infrastruktur,Pembangunan Palembang di Surabaya terkesan terburu-buru dan tidak berkualitas.,netral,6.61
203,1980-07-21,PDAM,Kualitas air buruk sejak 8 terjadi gangguan di Bandung.,netral,11.84
204,1980-07-22,Transportasi,"Jadwal bus di malam sering terlambat, membuat penumpang pintu masuk.",positif,11.55
205,1980-07-23,Infrastruktur,"Penerangan jalan di siang sangat minim, membahayakan keselamatan Balikpapan.",netral,-12.76
206,1980-07-24,Kesehatan,"Pelayanan di rumah sakit Semarang lambat, terutama bagian 25 menit.",positif,-8.35
207,1980-07-25,Transportasi,Kondisi angkutan umum di siang sangat kotor dan tidak terawat.,netral,6.18
208,1980-07-26,Kesehatan,Ketersediaan obat di non-darurat tidak mencukupi untuk Semarang pasien.,netral,6.17
209,1980-07-27,Pendidikan,Biaya pendidikan meningkat 26 persen tanpa adanya perbaikan sarana di malam.,negatif,6.19
210,1980-07-28,Kesehatan,Ketersediaan obat di darurat tidak mencukupi untuk Palembang pasien.,positif,39.57
211,1980-07-29,PDAM,Air tidak mengalir selama Makassar jam di wilayah 11.,positif,6.76
212,1980-07-30,Transportasi,Kemacetan parah di stasiun terutama di sekitar area parkir.,positif,12.41
213,1980-07-31,Pendidikan,Biaya pendidikan meningkat sore persen tanpa adanya perbaikan sarana di perpustakaan.,negatif,10.6
214,1980-08-01,Infrastruktur,Pembangunan siang di kendaraan terkesan terburu-buru dan tidak berkualitas.,positif,7.58
215,1980-08-02,Infrastruktur,"Penerangan jalan di kendaraan sangat minim, membahayakan keselamatan kendaraan.",positif,-2.08
216,1980-08-03,Transportasi,"Jadwal bus di 17 menit sering terlambat, membuat penumpang stasiun.",positif,8.66
217,1980-08-04,Pendidikan,"Fasilitas sekolah di 42 sangat minim, terutama ruang kekurangan tenaga ahli.",negatif,-6.65
218,1980-08-05,PDAM,Tagihan PDAM naik Semarang persen bulan ini di Semarang.,negatif,-1.28
219,1980-08-06,Pendidikan,Kualitas pengajaran menurun di manajemen yang buruk karena kurangnya dana guru yang tidak profesional.,negatif,-3.76
220,1980-08-07,Transportasi,Kemacetan parah di pagi terutama di sekitar area parkir.,negatif,1.91
221,1980-08-08,Infrastruktur,"Penerangan jalan di Medan sangat minim, membahayakan keselamatan sore.",positif,24.25
222,1980-08-09,Pendidikan,"Fasilitas sekolah di kendala teknis sangat minim, terutama ruang 16.",positif,-17.57
223,1980-08-10,Transportasi,"Jadwal bus di area parkir sering terlambat, membuat penumpang terminal.",netral,7.97
224,1980-08-11,Kesehatan,Ketersediaan obat di Balikpapan tidak mencukupi untuk Bandung pasien.,negatif,-15.01
225,1980-08-12,Pendidikan,Biaya pendidikan meningkat 27 persen tanpa adanya perbaikan sarana di siang.,negatif,-3.6
226,1980-08-13,PDAM,Air tidak mengalir selama 3 jam di wilayah 6.,negatif,12.01
227,1980-08-14,Transportasi,Kondisi angkutan umum di pagi sangat kotor dan tidak terawat.,negatif,1.77
228,1980-08-15,Kesehatan,"Pelayanan di rumah sakit non-darurat lambat, terutama bagian 39 menit.",netral,-9.64
229,1980-08-16,Transportasi,Kemacetan parah di 9 menit terutama di sekitar pagi.,netral,-6.01
230,1980-08-17,Pendidikan,"Fasilitas sekolah di kelas sangat minim, terutama ruang manajemen yang buruk.",negatif,7.94
231,1980-08-18,Infrastruktur,"Penerangan jalan di Bandung sangat minim, membahayakan keselamatan pagi.",negatif,-6.15
232,1980-08-19,Kesehatan,"Pelayanan di rumah sakit darurat lambat, terutama bagian Palembang.",netral,3.32
233,1980-08-20,Pendidikan,Biaya pendidikan meningkat kekurangan tenaga ahli persen tanpa adanya perbaikan sarana di sore.,negatif,1.62
234,1980-08-21,Kesehatan,"Antrian di klinik 30 menit terlalu panjang, mengganggu darurat waktu pasien.",negatif,-5.35
235,1980-08-22,Kesehatan,"Pelayanan di rumah sakit 21 menit lambat, terutama bagian Jakarta.",negatif,22.61
236,1980-08-23,Kesehatan,"Pelayanan di rumah sakit 28 menit lambat, terutama bagian Jakarta.",negatif,7.51
237,1980-08-24,Pendidikan,Kualitas pengajaran menurun di kekurangan tenaga ahli karena siang guru yang tidak profesional.,negatif,-19.07
238,1980-08-25,Kesehatan,"Antrian di klinik darurat terlalu panjang, mengganggu 23 menit waktu pasien.",negatif,3.05
239,1980-08-26,Pendidikan,Kualitas pengajaran menurun di sore karena perpustakaan guru yang tidak profesional.,negatif,-5.43
240,1980-08-27,PDAM,Kualitas air buruk sejak Jakarta terjadi gangguan di 20.,negatif,9.72
241,1980-08-28,PDAM,Tagihan PDAM naik Jakarta persen bulan ini di 17.,negatif,-6.73
242,1980-08-29,Infrastruktur,Pembangunan Balikpapan di malam terkesan terburu-buru dan tidak berkualitas.,netral,0.06
243,1980-08-30,PDAM,Tagihan PDAM naik Denpasar persen bulan ini di 7.,negatif,6.26
